epoch, iteration, loss, train-acc, lr, time
14,350,1.834,63.594,0.0999987,6.83187103
14,360,1.827,63.516,0.0999987,6.81206012
14,370,1.827,63.516,0.0999987,6.81034398
14,380,1.809,65.547,0.0999987,6.80227804
14,390,1.823,64.141,0.0999987,6.78878093
15,10,1.807,65.547,0.0999986,7.49931884
15,20,1.808,65.781,0.0999986,6.8037169
15,30,1.826,63.281,0.0999986,6.80748701
15,40,1.827,64.141,0.0999986,6.825207
15,50,1.829,63.906,0.0999986,6.81246185
15,60,1.815,65.547,0.0999986,6.80623794
15,70,1.817,64.844,0.0999986,6.81894493
15,80,1.818,64.453,0.0999986,6.80976892
15,90,1.808,65.312,0.0999986,6.79798102
15,100,1.812,65.234,0.0999986,6.82950306
15,110,1.808,65.391,0.0999986,6.81055784
15,120,1.798,66.562,0.0999986,6.83049512
15,130,1.814,65.234,0.0999986,6.82716298
15,140,1.819,64.531,0.0999986,6.81116796
15,150,1.825,63.828,0.0999986,6.83237696
15,160,1.815,64.766,0.0999986,6.81153011
15,170,1.801,66.797,0.0999986,6.79769802
15,180,1.826,63.75,0.0999986,6.79390597
15,190,1.801,66.25,0.0999986,6.79788995
15,200,1.812,65.078,0.0999986,6.78224111
15,210,1.81,65.391,0.0999986,6.79239702
15,220,1.807,65.938,0.0999986,6.80704713
15,230,1.808,65.938,0.0999986,6.81394911
15,240,1.814,65.703,0.0999986,6.79208589
15,250,1.816,64.922,0.0999986,6.79066706
15,260,1.825,63.516,0.0999986,6.79082799
15,270,1.831,62.891,0.0999986,6.791363
15,280,1.811,65.703,0.0999986,6.80722499
15,290,1.807,66.094,0.0999986,6.78069711
15,300,1.82,64.219,0.0999986,6.79478097
15,310,1.825,63.906,0.0999986,6.77088118
15,320,1.81,65.078,0.0999986,6.7768538
15,330,1.825,63.828,0.0999986,6.78824997
15,340,1.827,62.734,0.0999986,6.78010297
15,350,1.821,64.453,0.0999986,6.79338908
15,360,1.813,64.688,0.0999986,6.79162693
15,370,1.802,66.641,0.0999986,6.78094912
15,380,1.826,63.281,0.0999986,6.77591801
15,390,1.817,64.453,0.0999986,6.77749085
16,10,1.802,65.781,0.0999985,7.45736003
